experiment,model_name,conv_filters,dropout_rate,kernel_sizes,pooling_type,test_macro_f1,type,validation_macro_f1,backend,search,beam_width,max_caption_length,model_input_length,bleu4,meteor,num_predictions,batch_size,execution_time_seconds,seconds_per_image
init_rnn_layers3_hidden4_scratch_greedy_maxlen20,init_rnn_layers3_hidden4,,,,,,Captioning,,scratch,greedy,,20,38,0.0,0.0,1000,1024,,
init_rnn_layers3_hidden4_scratch_greedy_maxlen38,init_rnn_layers3_hidden4,,,,,,Captioning,,scratch,greedy,,38,38,0.0,0.0,1000,1024,,
rnn_layers1_hidden2_keras_greedy_maxlen10,rnn_layers1_hidden2,,,,,,Captioning,,keras,greedy,,10,38,0.1405093265472343,0.22992152195524113,1000,1024,10.457074707999709,0.01045707470799971
rnn_layers1_hidden2_keras_greedy_maxlen38,rnn_layers1_hidden2,,,,,,Captioning,,keras,greedy,,38,38,0.03628031388552893,0.1775665443019966,1000,1024,45.068022209001356,0.04506802220900136
rnn_layers1_hidden2_scratch_greedy_maxlen10,rnn_layers1_hidden2,,,,,,Captioning,,scratch,greedy,,10,38,0.1405093265472343,0.22992152195524113,1000,1024,26.664831666013924,0.026664831666013925
rnn_layers1_hidden2_scratch_greedy_maxlen20,rnn_layers1_hidden2,,,,,,Captioning,,scratch,greedy,,20,38,0.06951778408708645,0.20747352827199894,1000,1024,53.43999391599209,0.05343999391599209
rnn_layers1_hidden2_scratch_greedy_maxlen38,rnn_layers1_hidden2,,,,,,Captioning,,scratch,greedy,,38,38,0.03628031388552893,0.1775665443019966,1000,1024,117.90433766700153,0.11790433766700152
rnn_layers1_hidden4_keras_greedy_maxlen10,rnn_layers1_hidden4,,,,,,Captioning,,keras,greedy,,10,38,0.0,0.0,1000,1024,1.2515801249974174,0.0012515801249974175
rnn_layers1_hidden4_keras_greedy_maxlen38,rnn_layers1_hidden4,,,,,,Captioning,,keras,greedy,,38,38,0.0,0.0,1000,1024,1.0337294999917503,0.0010337294999917504
rnn_layers1_hidden4_scratch_greedy_maxlen10,rnn_layers1_hidden4,,,,,,Captioning,,scratch,greedy,,10,38,0.0,0.0,1000,1024,3.2108257090003463,0.0032108257090003463
rnn_layers1_hidden4_scratch_greedy_maxlen20,rnn_layers1_hidden4,,,,,,Captioning,,scratch,greedy,,20,38,0.0,0.0,1000,1024,2.7705879580025794,0.0027705879580025793
rnn_layers1_hidden4_scratch_greedy_maxlen38,rnn_layers1_hidden4,,,,,,Captioning,,scratch,greedy,,38,38,0.0,0.0,1000,1024,1.6545533339958638,0.0016545533339958637
rnn_layers2_hidden2_keras_greedy_maxlen10,rnn_layers2_hidden2,,,,,,Captioning,,keras,greedy,,10,38,0.0,0.0,1000,1024,1.4249276249902323,0.0014249276249902322
rnn_layers2_hidden2_keras_greedy_maxlen38,rnn_layers2_hidden2,,,,,,Captioning,,keras,greedy,,38,38,0.0,0.0,1000,1024,1.0948552920017391,0.0010948552920017392
rnn_layers2_hidden2_scratch_greedy_maxlen10,rnn_layers2_hidden2,,,,,,Captioning,,scratch,greedy,,10,38,0.0,0.0,1000,1024,3.0525628339964896,0.0030525628339964895
rnn_layers2_hidden2_scratch_greedy_maxlen20,rnn_layers2_hidden2,,,,,,Captioning,,scratch,greedy,,20,38,0.0,0.0,1000,1024,2.7998747499950696,0.0027998747499950695
rnn_layers2_hidden2_scratch_greedy_maxlen38,rnn_layers2_hidden2,,,,,,Captioning,,scratch,greedy,,38,38,0.0,0.0,1000,1024,3.1333350839995546,0.003133335083999555
rnn_layers2_hidden4_keras_greedy_maxlen10,rnn_layers2_hidden4,,,,,,Captioning,,keras,greedy,,10,38,0.1405093265472343,0.22992152195524113,1000,1024,12.540546457996243,0.012540546457996243
rnn_layers2_hidden4_keras_greedy_maxlen38,rnn_layers2_hidden4,,,,,,Captioning,,keras,greedy,,38,38,0.03628031388552893,0.1775665443019966,1000,1024,65.60286820800684,0.06560286820800684
rnn_layers2_hidden4_scratch_greedy_maxlen10,rnn_layers2_hidden4,,,,,,Captioning,,scratch,greedy,,10,38,0.1405093265472343,0.22992152195524113,1000,1024,31.824210250008036,0.031824210250008034
rnn_layers2_hidden4_scratch_greedy_maxlen20,rnn_layers2_hidden4,,,,,,Captioning,,scratch,greedy,,20,38,0.06951778408708645,0.20747352827199894,1000,1024,79.2455427919922,0.0792455427919922
rnn_layers2_hidden4_scratch_greedy_maxlen38,rnn_layers2_hidden4,,,,,,Captioning,,scratch,greedy,,38,38,0.03628031388552893,0.1775665443019966,1000,1024,143.67300941700523,0.14367300941700523
rnn_layers3_hidden2_keras_greedy_maxlen10,rnn_layers3_hidden2,,,,,,Captioning,,keras,greedy,,10,38,0.1405093265472343,0.22992152195524113,1000,1024,17.137792708002962,0.01713779270800296
rnn_layers3_hidden2_keras_greedy_maxlen38,rnn_layers3_hidden2,,,,,,Captioning,,keras,greedy,,38,38,0.03628031388552893,0.1775665443019966,1000,1024,67.99437458399916,0.06799437458399916
rnn_layers3_hidden2_scratch_greedy_maxlen10,rnn_layers3_hidden2,,,,,,Captioning,,scratch,greedy,,10,38,0.1405093265472343,0.22992152195524113,1000,1024,48.64404741700855,0.04864404741700855
rnn_layers3_hidden2_scratch_greedy_maxlen20,rnn_layers3_hidden2,,,,,,Captioning,,scratch,greedy,,20,38,0.06951778408708645,0.20747352827199894,1000,1024,76.14932216699526,0.07614932216699526
rnn_layers3_hidden2_scratch_greedy_maxlen38,rnn_layers3_hidden2,,,,,,Captioning,,scratch,greedy,,38,38,0.03628031388552893,0.1775665443019966,1000,1024,184.40921250000247,0.18440921250000247
rnn_layers3_hidden4_keras_greedy_maxlen10,rnn_layers3_hidden4,,,,,,Captioning,,keras,greedy,,10,38,0.1405093265472343,0.22992152195524113,1000,1024,35.43859125000017,0.03543859125000017
rnn_layers3_hidden4_keras_greedy_maxlen38,rnn_layers3_hidden4,,,,,,Captioning,,keras,greedy,,38,38,0.03628031388552893,0.1775665443019966,1000,1024,89.73406270799751,0.08973406270799751
rnn_layers3_hidden4_scratch_greedy_maxlen10,rnn_layers3_hidden4,,,,,,Captioning,,scratch,greedy,,10,38,0.1405093265472343,0.22992152195524113,1000,1024,44.53057908399205,0.04453057908399205
rnn_layers3_hidden4_scratch_greedy_maxlen20,rnn_layers3_hidden4,,,,,,Captioning,,scratch,greedy,,20,38,0.06951778408708645,0.20747352827199894,1000,1024,115.81451900000684,0.11581451900000685
rnn_layers3_hidden4_scratch_greedy_maxlen38,rnn_layers3_hidden4,,,,,,Captioning,,scratch,greedy,,38,38,0.03628031388552893,0.1775665443019966,1000,1024,179.86347595899133,0.17986347595899133
init_rnn_layers1_hidden2_keras_greedy_maxlen20,init_rnn_layers1_hidden2,,,,,,Captioning,,keras,greedy,,20,38,0.0,0.0,50,1024,,
init_rnn_layers1_hidden2_keras_beam3_maxlen20,init_rnn_layers1_hidden2,,,,,,Captioning,,keras,beam,3,20,38,0.0,0.0,50,1024,3.61727379200056,0.0723454758400112
init_rnn_layers1_hidden2_keras_beam5_maxlen20,init_rnn_layers1_hidden2,,,,,,Captioning,,keras,beam,5,20,38,0.0,0.0,50,1024,,
