model,backend,search,beam_width,max_caption_length,model_input_length,bleu4,meteor,num_predictions,batch_size,execution_time_seconds,seconds_per_image,predictions_path
rnn_layers1_hidden2,keras,greedy,,38,38,0.03628031388552893,0.1775665443019966,1000,1024,45.068022209001356,0.04506802220900136,/Users/kennethpoenadi/Documents/Semester 6/ML/Tubes2/artifacts/predictions/captioning/rnn_layers1_hidden2_keras_greedy_maxlen38.json
rnn_layers1_hidden2,scratch,greedy,,10,38,0.1405093265472343,0.22992152195524113,1000,1024,26.664831666013924,0.026664831666013925,/Users/kennethpoenadi/Documents/Semester 6/ML/Tubes2/artifacts/predictions/captioning/rnn_layers1_hidden2_scratch_greedy_maxlen10.json
rnn_layers1_hidden2,scratch,greedy,,20,38,0.06951778408708645,0.20747352827199894,1000,1024,53.43999391599209,0.05343999391599209,/Users/kennethpoenadi/Documents/Semester 6/ML/Tubes2/artifacts/predictions/captioning/rnn_layers1_hidden2_scratch_greedy_maxlen20.json
rnn_layers1_hidden2,scratch,greedy,,38,38,0.03628031388552893,0.1775665443019966,1000,1024,117.90433766700153,0.11790433766700152,/Users/kennethpoenadi/Documents/Semester 6/ML/Tubes2/artifacts/predictions/captioning/rnn_layers1_hidden2_scratch_greedy_maxlen38.json
rnn_layers1_hidden4,keras,greedy,,10,38,0.0,0.0,1000,1024,1.2515801249974174,0.0012515801249974175,/Users/kennethpoenadi/Documents/Semester 6/ML/Tubes2/artifacts/predictions/captioning/rnn_layers1_hidden4_keras_greedy_maxlen10.json
rnn_layers1_hidden4,keras,greedy,,20,38,0.0,0.0,1000,1024,0.5629167499992036,0.0005629167499992036,/Users/kennethpoenadi/Documents/Semester 6/ML/Tubes2/artifacts/predictions/captioning/rnn_layers1_hidden4_keras_greedy_maxlen20.json
rnn_layers1_hidden4,keras,greedy,,38,38,0.0,0.0,1000,1024,1.0337294999917503,0.0010337294999917504,/Users/kennethpoenadi/Documents/Semester 6/ML/Tubes2/artifacts/predictions/captioning/rnn_layers1_hidden4_keras_greedy_maxlen38.json
rnn_layers1_hidden4,scratch,greedy,,10,38,0.0,0.0,1000,1024,3.2108257090003463,0.0032108257090003463,/Users/kennethpoenadi/Documents/Semester 6/ML/Tubes2/artifacts/predictions/captioning/rnn_layers1_hidden4_scratch_greedy_maxlen10.json
rnn_layers1_hidden4,scratch,greedy,,20,38,0.0,0.0,1000,1024,2.7705879580025794,0.0027705879580025793,/Users/kennethpoenadi/Documents/Semester 6/ML/Tubes2/artifacts/predictions/captioning/rnn_layers1_hidden4_scratch_greedy_maxlen20.json
rnn_layers1_hidden4,scratch,greedy,,38,38,0.0,0.0,1000,1024,1.6545533339958638,0.0016545533339958637,/Users/kennethpoenadi/Documents/Semester 6/ML/Tubes2/artifacts/predictions/captioning/rnn_layers1_hidden4_scratch_greedy_maxlen38.json
rnn_layers2_hidden2,keras,greedy,,10,38,0.0,0.0,1000,1024,1.4249276249902323,0.0014249276249902322,/Users/kennethpoenadi/Documents/Semester 6/ML/Tubes2/artifacts/predictions/captioning/rnn_layers2_hidden2_keras_greedy_maxlen10.json
rnn_layers2_hidden2,keras,greedy,,20,38,0.0,0.0,1000,1024,0.6674962079996476,0.0006674962079996476,/Users/kennethpoenadi/Documents/Semester 6/ML/Tubes2/artifacts/predictions/captioning/rnn_layers2_hidden2_keras_greedy_maxlen20.json
rnn_layers2_hidden2,keras,greedy,,38,38,0.0,0.0,1000,1024,1.0948552920017391,0.0010948552920017392,/Users/kennethpoenadi/Documents/Semester 6/ML/Tubes2/artifacts/predictions/captioning/rnn_layers2_hidden2_keras_greedy_maxlen38.json
rnn_layers2_hidden2,scratch,greedy,,10,38,0.0,0.0,1000,1024,3.0525628339964896,0.0030525628339964895,/Users/kennethpoenadi/Documents/Semester 6/ML/Tubes2/artifacts/predictions/captioning/rnn_layers2_hidden2_scratch_greedy_maxlen10.json
rnn_layers2_hidden2,scratch,greedy,,20,38,0.0,0.0,1000,1024,2.7998747499950696,0.0027998747499950695,/Users/kennethpoenadi/Documents/Semester 6/ML/Tubes2/artifacts/predictions/captioning/rnn_layers2_hidden2_scratch_greedy_maxlen20.json
rnn_layers2_hidden2,scratch,greedy,,38,38,0.0,0.0,1000,1024,3.1333350839995546,0.003133335083999555,/Users/kennethpoenadi/Documents/Semester 6/ML/Tubes2/artifacts/predictions/captioning/rnn_layers2_hidden2_scratch_greedy_maxlen38.json
rnn_layers2_hidden4,keras,greedy,,10,38,0.1405093265472343,0.22992152195524113,1000,1024,12.540546457996243,0.012540546457996243,/Users/kennethpoenadi/Documents/Semester 6/ML/Tubes2/artifacts/predictions/captioning/rnn_layers2_hidden4_keras_greedy_maxlen10.json
rnn_layers2_hidden4,keras,greedy,,20,38,0.06951778408708645,0.20747352827199894,1000,1024,9.53617554199991,0.00953617554199991,/Users/kennethpoenadi/Documents/Semester 6/ML/Tubes2/artifacts/predictions/captioning/rnn_layers2_hidden4_keras_greedy_maxlen20.json
rnn_layers2_hidden4,keras,greedy,,38,38,0.03628031388552893,0.1775665443019966,1000,1024,65.60286820800684,0.06560286820800684,/Users/kennethpoenadi/Documents/Semester 6/ML/Tubes2/artifacts/predictions/captioning/rnn_layers2_hidden4_keras_greedy_maxlen38.json
rnn_layers2_hidden4,scratch,greedy,,10,38,0.1405093265472343,0.22992152195524113,1000,1024,31.824210250008036,0.031824210250008034,/Users/kennethpoenadi/Documents/Semester 6/ML/Tubes2/artifacts/predictions/captioning/rnn_layers2_hidden4_scratch_greedy_maxlen10.json
rnn_layers2_hidden4,scratch,greedy,,20,38,0.06951778408708645,0.20747352827199894,1000,1024,79.2455427919922,0.0792455427919922,/Users/kennethpoenadi/Documents/Semester 6/ML/Tubes2/artifacts/predictions/captioning/rnn_layers2_hidden4_scratch_greedy_maxlen20.json
rnn_layers2_hidden4,scratch,greedy,,38,38,0.03628031388552893,0.1775665443019966,1000,1024,143.67300941700523,0.14367300941700523,/Users/kennethpoenadi/Documents/Semester 6/ML/Tubes2/artifacts/predictions/captioning/rnn_layers2_hidden4_scratch_greedy_maxlen38.json
rnn_layers3_hidden2,keras,greedy,,10,38,0.1405093265472343,0.22992152195524113,1000,1024,17.137792708002962,0.01713779270800296,/Users/kennethpoenadi/Documents/Semester 6/ML/Tubes2/artifacts/predictions/captioning/rnn_layers3_hidden2_keras_greedy_maxlen10.json
rnn_layers3_hidden2,keras,greedy,,20,38,0.06951778408708645,0.20747352827199894,1000,1024,9.180677084001218,0.009180677084001217,/Users/kennethpoenadi/Documents/Semester 6/ML/Tubes2/artifacts/predictions/captioning/rnn_layers3_hidden2_keras_greedy_maxlen20.json
rnn_layers3_hidden2,keras,greedy,,38,38,0.03628031388552893,0.1775665443019966,1000,1024,67.99437458399916,0.06799437458399916,/Users/kennethpoenadi/Documents/Semester 6/ML/Tubes2/artifacts/predictions/captioning/rnn_layers3_hidden2_keras_greedy_maxlen38.json
rnn_layers3_hidden2,scratch,greedy,,10,38,0.1405093265472343,0.22992152195524113,1000,1024,48.64404741700855,0.04864404741700855,/Users/kennethpoenadi/Documents/Semester 6/ML/Tubes2/artifacts/predictions/captioning/rnn_layers3_hidden2_scratch_greedy_maxlen10.json
rnn_layers3_hidden2,scratch,greedy,,20,38,0.06951778408708645,0.20747352827199894,1000,1024,76.14932216699526,0.07614932216699526,/Users/kennethpoenadi/Documents/Semester 6/ML/Tubes2/artifacts/predictions/captioning/rnn_layers3_hidden2_scratch_greedy_maxlen20.json
rnn_layers3_hidden2,scratch,greedy,,38,38,0.03628031388552893,0.1775665443019966,1000,1024,184.40921250000247,0.18440921250000247,/Users/kennethpoenadi/Documents/Semester 6/ML/Tubes2/artifacts/predictions/captioning/rnn_layers3_hidden2_scratch_greedy_maxlen38.json
rnn_layers3_hidden4,keras,greedy,,10,38,0.1405093265472343,0.22992152195524113,1000,1024,35.43859125000017,0.03543859125000017,/Users/kennethpoenadi/Documents/Semester 6/ML/Tubes2/artifacts/predictions/captioning/rnn_layers3_hidden4_keras_greedy_maxlen10.json
rnn_layers3_hidden4,keras,greedy,,20,38,0.06951778408708645,0.20747352827199894,1000,1024,9.288727416998881,0.009288727416998882,/Users/kennethpoenadi/Documents/Semester 6/ML/Tubes2/artifacts/predictions/captioning/rnn_layers3_hidden4_keras_greedy_maxlen20.json
rnn_layers3_hidden4,keras,greedy,,38,38,0.03628031388552893,0.1775665443019966,1000,1024,89.73406270799751,0.08973406270799751,/Users/kennethpoenadi/Documents/Semester 6/ML/Tubes2/artifacts/predictions/captioning/rnn_layers3_hidden4_keras_greedy_maxlen38.json
rnn_layers3_hidden4,scratch,greedy,,10,38,0.1405093265472343,0.22992152195524113,1000,1024,44.53057908399205,0.04453057908399205,/Users/kennethpoenadi/Documents/Semester 6/ML/Tubes2/artifacts/predictions/captioning/rnn_layers3_hidden4_scratch_greedy_maxlen10.json
rnn_layers3_hidden4,scratch,greedy,,20,38,0.06951778408708645,0.20747352827199894,1000,1024,115.81451900000684,0.11581451900000685,/Users/kennethpoenadi/Documents/Semester 6/ML/Tubes2/artifacts/predictions/captioning/rnn_layers3_hidden4_scratch_greedy_maxlen20.json
rnn_layers3_hidden4,scratch,greedy,,38,38,0.03628031388552893,0.1775665443019966,1000,1024,179.86347595899133,0.17986347595899133,/Users/kennethpoenadi/Documents/Semester 6/ML/Tubes2/artifacts/predictions/captioning/rnn_layers3_hidden4_scratch_greedy_maxlen38.json
init_rnn_layers1_hidden2,keras,greedy,,10,38,0.0,0.0,1000,1024,,,/Users/alvin/Documents/ITB/sem6/ML/ML-KPEZ/artifacts/predictions/captioning/init_rnn_layers1_hidden2_keras_greedy_maxlen10.json
init_rnn_layers1_hidden2,keras,greedy,,20,38,0.0,0.0,1000,1024,0.9106598329999542,0.0009106598329999542,/Users/alvin/Documents/ITB/sem6/ML/ML-KPEZ/artifacts/predictions/captioning/init_rnn_layers1_hidden2_keras_greedy_maxlen20.json
init_rnn_layers1_hidden2,keras,greedy,,38,38,0.0,0.0,1000,1024,,,/Users/alvin/Documents/ITB/sem6/ML/ML-KPEZ/artifacts/predictions/captioning/init_rnn_layers1_hidden2_keras_greedy_maxlen38.json
init_rnn_layers1_hidden2,scratch,greedy,,10,38,0.0,0.0,1000,1024,,,/Users/alvin/Documents/ITB/sem6/ML/ML-KPEZ/artifacts/predictions/captioning/init_rnn_layers1_hidden2_scratch_greedy_maxlen10.json
init_rnn_layers1_hidden2,scratch,greedy,,20,38,0.0,0.0,1000,1024,,,/Users/alvin/Documents/ITB/sem6/ML/ML-KPEZ/artifacts/predictions/captioning/init_rnn_layers1_hidden2_scratch_greedy_maxlen20.json
init_rnn_layers1_hidden2,scratch,greedy,,38,38,0.0,0.0,1000,1024,,,/Users/alvin/Documents/ITB/sem6/ML/ML-KPEZ/artifacts/predictions/captioning/init_rnn_layers1_hidden2_scratch_greedy_maxlen38.json
init_rnn_layers1_hidden4,keras,greedy,,10,38,0.1405093265472343,0.22992152195524113,1000,1024,,,/Users/alvin/Documents/ITB/sem6/ML/ML-KPEZ/artifacts/predictions/captioning/init_rnn_layers1_hidden4_keras_greedy_maxlen10.json
init_rnn_layers1_hidden4,keras,greedy,,20,38,0.06951778408708645,0.20747352827199894,1000,1024,10.620985207999183,0.010620985207999183,/Users/alvin/Documents/ITB/sem6/ML/ML-KPEZ/artifacts/predictions/captioning/init_rnn_layers1_hidden4_keras_greedy_maxlen20.json
